redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new,all_people,white,white_scottish,white_other_british,white_irish,white_gypsy_traveller,white_polish,white_other_white,mixed_or_multiple_ethnic_groups,asian_asian_british,asian_asian_british_pakistani,asian_asian_british_indian,asian_asian_british_bangladeshi,asian_asian_british_chinese,asian_asian_british_other_asian,african,african_african_african_scottish_or_african_british,african_other_african,caribbean_or_black,caribbean_or_black_caribbean_caribbean_scottish_or_caribbean_british,caribbean_or_black_black_black_scottish_or_black_british,caribbean_or_black_other_caribbean_or_black,other_ethnic_groups,other_ethnic_group_arab,other_ethnic_group_any_other_ethnic_group,white_english_welsh_scottish_northern_irish_british,african_caribbean,ccg_name,updated_all_age_mid_2018,multiplication_factor,white_perc,white_scottish_perc,white_other_british_perc,white_irish_perc,white_gypsy_traveller_perc,white_polish_perc,white_other_white_perc,mixed_or_multiple_ethnic_groups_perc,asian_asian_british_perc,asian_asian_british_pakistani_perc,asian_asian_british_indian_perc,asian_asian_british_bangladeshi_perc,asian_asian_british_chinese_perc,asian_asian_british_other_asian_perc,african_perc,african_african_african_scottish_or_african_british_perc,african_other_african_perc,caribbean_or_black_perc,caribbean_or_black_caribbean_caribbean_scottish_or_caribbean_british_perc,caribbean_or_black_black_black_scottish_or_black_british_perc,caribbean_or_black_other_caribbean_or_black_perc,other_ethnic_groups_perc,other_ethnic_group_arab_perc,other_ethnic_group_any_other_ethnic_group_perc,white_english_welsh_scottish_northern_irish_british_perc,african_caribbean_perc,mixed_multiple_ethnic_groups_white_and_black_caribbean,mixed_multiple_ethnic_groups_white_and_black_african,mixed_multiple_ethnic_groups_white_and_asian,mixed_multiple_ethnic_groups_other_mixed,black_african_caribbean_black_british_african,black_african_caribbean_black_british_caribbean,black_african_caribbean_black_british_other_black,HBName,HB19,mixed_multiple_ethnic_groups_white_and_black_caribbean_perc,mixed_multiple_ethnic_groups_white_and_black_african_perc,mixed_multiple_ethnic_groups_white_and_asian_perc,mixed_multiple_ethnic_groups_other_mixed_perc,black_african_caribbean_black_british_african_perc,black_african_caribbean_black_british_caribbean_perc,black_african_caribbean_black_british_other_black_perc,white_perc_out,asian_perc_out,black_perc_out,minority_ethnic_out,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.5067958,W11000029,0.2852880774520998,CF14,Cardiff,1040.481217191601,496413,436020.8099808224,NA,NA,3347.76624910568,569.5195565019707,NA,14935.702907968656,12321.376973324923,31367.708119366842,6903.585767929792,8881.142604344384,5210.788709766186,4856.6778416090565,5515.513195717424,NA,NA,NA,NA,NA,NA,NA,NA,5128.8283307861975,2443.0497580573465,417167.8212672461,9131.226837642298,Cardiff and Vale University Health Board,496413,1.0507740894870308,87.83428515788717,NA,NA,0.6743913332458417,0.11472696252958134,NA,3.008725176006401,2.4820818498558506,6.318873220356204,1.3906939922866226,1.789063260701147,1.0496882051368892,0.978354281940452,1.111073480291093,NA,NA,NA,NA,NA,NA,NA,NA,1.0331776828540342,0.49214056804663586,84.03644168610533,1.8394415210001145,4486.8053621096215,2089.9896639897042,3036.7371186175187,2707.8448286080784,5651.063053261251,1653.9184168525865,1826.2453675284594,NA,NA,0.9038452583050045,0.4210183182127995,0.6117360179160334,0.5454822554220132,1.138379344066584,0.3331738727335075,0.36788830420002283,87.83428515788717,6.318873220356204,1.8394415210001145,4.00740010075652,NA,4,4
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,01452,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,364748.3365889726,NA,NA,12890.476084567117,554.0194483698947,NA,26688.716844852293,25209.51757111028,93591.19113464394,46698.72379737124,12426.797725027678,7006.332395200417,14736.481947897848,12722.855269146756,NA,NA,NA,NA,NA,NA,NA,NA,10343.510447660332,6404.421285281847,324615.1242111833,47330.02297233104,NHS Manchester CCG,547627,1.088446853378968,66.60525076173612,NA,NA,2.353878841723859,0.1011672997076285,NA,4.873520999668076,4.603410272157925,17.09031715650323,8.52746920757582,2.2692083708487125,1.2793986408998126,2.690970669433364,2.3232702677455195,NA,NA,NA,NA,NA,NA,NA,NA,1.888787522832207,1.1694860343412299,59.27668362063654,8.642748252429307,9662.142717445098,4785.900814307322,5214.748874538635,5546.7251648192205,27992.676175200297,10494.804560280008,8842.542236850735,NA,NA,1.7643656571799962,0.8739344141737574,0.9522446618845739,1.0128655389195966,5.111631854382691,1.916414742202267,1.6147016558443492,66.60525076173612,17.09031715650323,8.642748252429307,7.661683829331362,NA,3,NA
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,04152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,364748.3365889726,NA,NA,12890.476084567117,554.0194483698947,NA,26688.716844852293,25209.51757111028,93591.19113464394,46698.72379737124,12426.797725027678,7006.332395200417,14736.481947897848,12722.855269146756,NA,NA,NA,NA,NA,NA,NA,NA,10343.510447660332,6404.421285281847,324615.1242111833,47330.02297233104,NHS Manchester CCG,547627,1.088446853378968,66.60525076173612,NA,NA,2.353878841723859,0.1011672997076285,NA,4.873520999668076,4.603410272157925,17.09031715650323,8.52746920757582,2.2692083708487125,1.2793986408998126,2.690970669433364,2.3232702677455195,NA,NA,NA,NA,NA,NA,NA,NA,1.888787522832207,1.1694860343412299,59.27668362063654,8.642748252429307,9662.142717445098,4785.900814307322,5214.748874538635,5546.7251648192205,27992.676175200297,10494.804560280008,8842.542236850735,NA,NA,1.7643656571799962,0.8739344141737574,0.9522446618845739,1.0128655389195966,5.111631854382691,1.916414742202267,1.6147016558443492,66.60525076173612,17.09031715650323,8.642748252429307,7.661683829331362,NA,3,NA
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,-0.11906711624574683,NP11,Caerphilly,839.2555731549924,591225,568286.551675411,NA,NA,2024.5535791689351,356.73146610166555,NA,7661.52579782715,5686.176558810169,11987.40736951976,3492.4830603688924,2218.2956685172535,1975.3492390169813,1658.5962992887783,2642.6831023278555,NA,NA,NA,NA,NA,NA,NA,NA,1115.2983767776211,884.6530323153372,558243.7408323133,3264.9129871661057,Aneurin Bevan University Health Board,591225,1.0250904198323723,96.12018295495133,NA,NA,0.3424336892331913,0.06033768296362054,NA,1.2958731105462642,0.9617618603425377,2.0275542085533864,0.5907197869455609,0.37520329291170934,0.3341112502037264,0.28053554895154603,0.4469843295408441,NA,NA,NA,NA,NA,NA,NA,NA,0.1886419513345378,0.14963051838392105,94.42153847220827,0.5522285064342858,2404.8621249267453,714.4880226231635,1477.1552949784484,1089.6711162818117,1848.2380269577673,1086.5958450223145,330.07911518602384,NA,NA,0.4067592075650971,0.12084875007368828,0.24984655503039427,0.18430734767335813,0.3126116160442754,0.18378719523401657,0.05582969515599372,96.12018295495133,2.0275542085533864,0.5522285064342858,1.3000343300609964,NA,5,5
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,4.9936313463509014,NW1,Camden,16052.945986403043,262226,173821.21300002723,NA,NA,8393.831195708412,198.74802349118175,NA,49863.141845709775,14664.50985304396,42184.5655129846,1772.0707004692792,7239.426508364422,14879.9193874865,7727.37075765415,10565.77815901025,NA,NA,NA,NA,NA,NA,NA,NA,4084.4503989325494,5977.912107761712,115365.49193511787,21493.349127249952,NHS Camden CCG,262226,1.1901079250968967,66.2867957410887,NA,NA,3.2009912044222966,0.07579264584411223,NA,19.01533099147673,5.592317258030844,16.087102542457497,0.6757799380951085,2.760758471076256,5.6744637783768574,2.9468362243462316,4.029264130563045,NA,NA,NA,NA,NA,NA,NA,NA,1.5576069493233125,2.279679401646561,43.99468089934555,8.196498107453094,2968.1291651916604,2142.194265174414,4617.618749375959,4936.567673301927,12855.545806896678,4160.617306138751,4477.186014214525,NA,NA,1.1318973576959037,0.8169267216730659,1.7609309333841645,1.8825622452777098,4.902468026395811,1.5866532327605771,1.707376848296708,66.2867957410887,16.087102542457497,8.196498107453094,9.429603609000718,NA,94,NA
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,364748.3365889726,NA,NA,12890.476084567117,554.0194483698947,NA,26688.716844852293,25209.51757111028,93591.19113464394,46698.72379737124,12426.797725027678,7006.332395200417,14736.481947897848,12722.855269146756,NA,NA,NA,NA,NA,NA,NA,NA,10343.510447660332,6404.421285281847,324615.1242111833,47330.02297233104,NHS Manchester CCG,547627,1.088446853378968,66.60525076173612,NA,NA,2.353878841723859,0.1011672997076285,NA,4.873520999668076,4.603410272157925,17.09031715650323,8.52746920757582,2.2692083708487125,1.2793986408998126,2.690970669433364,2.3232702677455195,NA,NA,NA,NA,NA,NA,NA,NA,1.888787522832207,1.1694860343412299,59.27668362063654,8.642748252429307,9662.142717445098,4785.900814307322,5214.748874538635,5546.7251648192205,27992.676175200297,10494.804560280008,8842.542236850735,NA,NA,1.7643656571799962,0.8739344141737574,0.9522446618845739,1.0128655389195966,5.111631854382691,1.916414742202267,1.6147016558443492,66.60525076173612,17.09031715650323,8.642748252429307,7.661683829331362,NA,3,NA
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14153,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,364748.3365889726,NA,NA,12890.476084567117,554.0194483698947,NA,26688.716844852293,25209.51757111028,93591.19113464394,46698.72379737124,12426.797725027678,7006.332395200417,14736.481947897848,12722.855269146756,NA,NA,NA,NA,NA,NA,NA,NA,10343.510447660332,6404.421285281847,324615.1242111833,47330.02297233104,NHS Manchester CCG,547627,1.088446853378968,66.60525076173612,NA,NA,2.353878841723859,0.1011672997076285,NA,4.873520999668076,4.603410272157925,17.09031715650323,8.52746920757582,2.2692083708487125,1.2793986408998126,2.690970669433364,2.3232702677455195,NA,NA,NA,NA,NA,NA,NA,NA,1.888787522832207,1.1694860343412299,59.27668362063654,8.642748252429307,9662.142717445098,4785.900814307322,5214.748874538635,5546.7251648192205,27992.676175200297,10494.804560280008,8842.542236850735,NA,NA,1.7643656571799962,0.8739344141737574,0.9522446618845739,1.0128655389195966,5.111631854382691,1.916414742202267,1.6147016558443492,66.60525076173612,17.09031715650323,8.642748252429307,7.661683829331362,NA,3,NA
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101,2.94159140577737,L14,Liverpool,8532.415682677978,494813.99999999994,439919.41981711565,NA,NA,7138.7142480409075,196.2642496489178,NA,13019.21552265686,12471.79739931177,20584.406680745687,2120.714784044252,5214.263713645572,1140.4544236356035,8463.763155130087,3645.2106042901705,NA,NA,NA,NA,NA,NA,NA,NA,5971.737628506801,2809.2309895693747,419565.2257967689,13057.407484750704,NHS Liverpool CCG,494814,1.0608878359400962,88.90601717354717,NA,NA,1.4427066024891997,0.03966424750490443,NA,2.631133218271282,2.520502127933278,4.16002915858195,0.42858827439083214,1.0537825756032717,0.23048143820417444,1.7104938734817707,0.7366829969019006,NA,NA,NA,NA,NA,NA,NA,NA,1.2068651308384166,0.5677347426647943,84.79251310528177,2.6388516664343986,3684.463454219954,3356.6491129144642,2422.0069294512396,3008.6779027261127,9006.937727131417,1556.3224553241212,2494.147302295166,NA,NA,0.7446158464028816,0.678365833002798,0.48947825434430714,0.6080421941832918,1.8202673584683169,0.3145267626469989,0.5040575453190828,88.90601717354717,4.16002915858195,2.6388516664343986,4.295102001436489,NA,6,NA
"Queen Elizabeth University Hospital, Glasgow",queen_elizabeth_un,GN405,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.3404361,55.8624213,S08000031,3.019275767976359,G51,Glasgow,2318.6194634568483,1174980,1089317.6088504442,996422.7570446214,44645.8469698568,18150.387272871118,667.1797285002241,10500.576162346053,18930.86167224874,4545.343462380337,60586.50399535852,27475.410183549142,12896.225869616814,555.8217186634669,12984.3439469659,6674.7022765632,13681.541921596034,13503.36910585722,178.17281573881166,2101.277229093594,975.108833961866,895.7057312956565,230.4626638360716,4747.724541127139,3158.6941572826286,1589.0303838445107,1041068.6040144782,15782.819150689627,Greater Glasgow and Clyde,1174980,0.9683305203196286,92.70945963764866,84.80338023154619,3.799711226561882,1.5447401039056934,0.05678221999525303,0.8936812679659274,1.6111645876737253,0.38684432606345104,5.156385980642949,2.3383725836651807,1.097569819879216,0.047304781244231126,1.105069358369155,0.5680694374851657,1.1644063662016404,1.1492424642000052,0.015163902001635064,0.17883514860623959,0.08298939845460059,0.07623157256256757,0.01961417758907144,0.40406854083704735,0.2688296104855086,0.1352389303515388,88.60309145810807,1.3432415148078798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.70945963764866,5.156385980642949,1.3432415148078798,0.7909128669004983,2,2,NA
Aberdeen Royal Infirmary,aberdeen_royal_inf,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1359876,57.1546176,S08000020,-0.34231016921157476,AB25,Aberdeen,4395.31208499336,584550,560953.7633048126,460330.51843299746,66657.2371854687,3908.5664805706238,547.5074728368312,11336.383621439529,18173.55011149947,2558.8013411567476,12485.84114883993,1483.3035474228595,4065.7309146119655,761.1689256512043,2850.5314017302185,3325.106359423682,5772.968100080659,5725.716048015942,47.252052064717134,938.8777301554666,511.55482452672027,309.19277546695344,118.13013016179283,1839.7483749545302,1181.3013016179284,658.4470733366019,526987.7556184662,6711.845830236125,Grampian,584550,1.0272185231460247,95.96335015051109,78.7495540899833,11.403171189028944,0.6686453649081556,0.09366306951275874,1.9393351503617362,3.108981286716187,0.43773866070597,2.1359748779129126,0.25375135530285853,0.6955317619727938,0.13021451127383532,0.4876454369566707,0.5688318124067543,0.9875918398906267,0.9795083479626965,0.008083491927930397,0.1606154700462692,0.08751258652411603,0.05289415370232717,0.02020872981982599,0.31472900093311607,0.20208729819825993,0.1126417027348562,90.15272527901226,1.148207309936896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.96335015051109,2.1359748779129126,1.148207309936896,0.7524676616390862,14,14,NA
